valid_time,u10,v10,t2m,msl,sst,avg_sdswrf,number,latitude,longitude,expver,wind_speed
2019-01-25 06:00:00,6.3160343,-1.5053186,8.27948,101864.12,14.25827,310.5852,0,35.05,129.05,0001,6.49294
2019-01-25 12:00:00,4.844187,-7.0445356,3.382843,102093.89,14.25827,0.0,0,35.05,129.05,0001,8.549364
2019-01-25 18:00:00,4.6679964,-8.484324,1.0260315,102232.625,14.25827,0.0,0,35.05,129.05,0001,9.683696
2019-01-26 00:00:00,5.889163,-5.7318487,0.8176575,102449.016,14.302216,151.46219,0,35.05,129.05,0001,8.218049
2019-01-26 06:00:00,3.387824,-6.516264,4.677643,102404.53,14.302216,518.1753,0,35.05,129.05,0001,7.344321
2019-01-26 12:00:00,3.0921688,-6.1573544,3.1539612,102701.1,14.302216,0.0,0,35.05,129.05,0001,6.890176
2019-01-26 18:00:00,1.6015948,-5.537879,1.6683655,102801.51,14.302216,0.0,0,35.05,129.05,0001,5.7648253
2019-01-27 00:00:00,2.1818247,-2.2103548,2.771881,102911.3,14.156952,151.76859,0,35.05,129.05,0001,3.1058054
2019-01-27 06:00:00,4.933057,2.059297,7.2550354,102553.17,14.156952,518.7754,0,35.05,129.05,0001,5.3456297
2019-01-27 12:00:00,5.851432,2.8844624,6.7408752,102328.72,14.156952,0.0,0,35.05,129.05,0001,6.5237546
2019-01-27 18:00:00,9.119359,0.6105846,4.9096985,102218.05,14.156952,0.0,0,35.05,129.05,0001,9.139777
2019-01-28 00:00:00,7.821823,1.4269892,6.933136,102047.016,14.065643,96.23038,0,35.05,129.05,0001,7.9509254
2019-01-28 06:00:00,7.9689703,-2.3652802,9.30188,101807.86,14.065643,452.2898,0,35.05,129.05,0001,8.312583
2019-01-28 12:00:00,3.3543758,-5.8701725,4.4549866,102234.8,14.065643,0.0,0,35.05,129.05,0001,6.7609735
2019-01-28 18:00:00,1.300524,-5.7811565,2.2721252,102529.06,14.065643,0.0,0,35.05,129.05,0001,5.925634
2019-01-29 00:00:00,0.30693817,-3.8062735,4.332428,102732.734,14.123993,150.41875,0,35.05,129.05,0001,3.818629
2019-01-29 06:00:00,-1.0967999,-0.008152008,8.701294,102626.08,14.123993,509.2063,0,35.05,129.05,0001,1.0968301
2019-01-29 12:00:00,0.43941206,0.5236815,8.424469,102638.02,14.123993,0.0,0,35.05,129.05,0001,0.6836119
2019-01-29 18:00:00,3.9146428,-2.2282677,6.655426,102641.94,14.123993,0.0,0,35.05,129.05,0001,4.5043983
2019-01-30 00:00:00,2.5469759,-0.42415905,7.296051,102598.63,14.270477,149.54291,0,35.05,129.05,0001,2.582053
2019-01-30 06:00:00,4.124137,2.0052822,10.2535095,102226.95,14.270477,513.96265,0,35.05,129.05,0001,4.5858107
2019-01-30 12:00:00,4.6916227,1.5000637,9.783905,102165.375,14.270477,0.0,0,35.05,129.05,0001,4.9255977
2019-01-30 18:00:00,1.3000369,-3.9852257,7.408905,101905.96,14.270477,0.0,0,35.05,129.05,0001,4.191911
2019-01-31 00:00:00,-0.9901533,-5.4527235,4.4231873,101715.336,13.672821,14.486758,0,35.05,129.05,0001,5.541895
2019-01-31 06:00:00,3.1380844,-7.6544733,3.8101501,101521.336,13.672821,53.987473,0,35.05,129.05,0001,8.2727585
2019-01-31 12:00:00,5.624017,-5.682516,2.7129211,101887.33,13.672821,0.0,0,35.05,129.05,0001,7.9950333
2019-01-31 18:00:00,6.506789,-8.07439,0.25003052,102085.086,13.672821,0.0,0,35.05,129.05,0001,10.369864
2019-02-01 00:00:00,6.6146917,-5.465212,0.2788391,102367.45,14.019501,163.96751,0,35.05,129.05,0001,8.580366
2019-02-01 06:00:00,6.524252,-3.171218,5.3409424,102187.695,14.019501,545.5864,0,35.05,129.05,0001,7.254136
2019-02-01 12:00:00,4.2905617,-2.0859184,4.0157776,102329.48,14.019501,0.0,0,35.05,129.05,0001,4.7707415
2019-02-01 18:00:00,6.6874285,-1.0758724,2.6888733,102385.89,14.019501,0.0,0,35.05,129.05,0001,6.7734184
2019-02-02 00:00:00,4.356867,-0.2947241,3.5221252,102514.09,14.37204,167.76857,0,35.05,129.05,0001,4.3668237
2019-02-02 06:00:00,4.473775,2.941225,7.9799805,102199.12,14.37204,531.3301,0,35.05,129.05,0001,5.354014
2019-02-02 12:00:00,2.6536715,2.197187,9.236847,102181.43,14.37204,0.0,0,35.05,129.05,0001,3.445229
2019-02-02 18:00:00,3.5893607,5.1489105,12.035919,101876.67,14.37204,0.0,0,35.05,129.05,0001,6.276527
2019-02-03 00:00:00,-1.6891298,8.583221,14.453522,101262.58,14.435333,28.824509,0,35.05,129.05,0001,8.7478485
2019-02-03 06:00:00,8.847691,4.9644775,13.160614,100896.47,14.435333,231.032,0,35.05,129.05,0001,10.145328
2019-02-03 12:00:00,9.388124,1.6845967,10.343903,101132.27,14.435333,0.0,0,35.05,129.05,0001,9.538068
2019-02-03 18:00:00,7.6784325,-6.4596586,7.4156494,101851.016,14.435333,0.0,0,35.05,129.05,0001,10.034217
2019-02-04 00:00:00,2.0225935,-6.132386,4.621155,102434.53,14.563751,172.41837,0,35.05,129.05,0001,6.457325
2019-02-04 06:00:00,1.6768293,-4.749384,8.590912,102294.69,14.563751,543.63916,0,35.05,129.05,0001,5.0367055
2019-02-04 12:00:00,1.7982005,-3.131835,6.799347,102551.734,14.563751,0.0,0,35.05,129.05,0001,3.6113594
2019-02-04 18:00:00,1.3941824,-3.1991177,5.1791077,102454.15,14.563751,0.0,0,35.05,129.05,0001,3.4897132
2019-02-05 00:00:00,-1.4001608,-3.2959776,6.8487854,102457.586,14.467804,171.44972,0,35.05,129.05,0001,3.58105
2019-02-05 06:00:00,-1.5927095,0.61317605,10.488892,102065.54,14.467804,537.69995,0,35.05,129.05,0001,1.7066659
2019-02-05 12:00:00,-0.63753414,-0.43048406,10.4635315,101933.125,14.467804,0.0,0,35.05,129.05,0001,0.7692635
2019-02-05 18:00:00,0.38915032,-3.3205557,8.854645,101660.92,14.467804,0.0,0,35.05,129.05,0001,3.343281
